Verbos,Substantivos,Canonicas,Diferentes,Palavras_Frase,Decision
11.16504854368932,49.51456310679612,28.640776699029125,73.30097087378641,12.117647058823529,Ensino_Fundamental_II
14.225941422594142,44.35146443514645,32.21757322175732,71.1297071129707,11.95,Ensino_Fundamental_II
12.167300380228136,43.346007604562736,30.79847908745247,82.50950570342205,11.954545454545455,Ensino_Fundamental_II
13.953488372093023,42.857142857142854,22.591362126245848,68.10631229235881,11.576923076923077,Ensino_Fundamental_II
13.609467455621301,47.928994082840234,39.64497041420118,69.23076923076923,12.071428571428571,Ensino_Fundamental_II
20.12987012987013,49.02597402597402,29.545454545454547,81.49350649350649,12.833333333333334,Ensino_Fundamental_II
14.418604651162791,47.44186046511628,30.697674418604652,59.53488372093023,10.75,Ensino_Fundamental_II
16.810344827586206,39.224137931034484,28.017241379310345,78.87931034482759,12.88888888888889,Ensino_Fundamental_II
12.927756653992395,49.42965779467681,32.31939163498099,82.88973384030419,11.434782608695652,Ensino_Fundamental_II
21.22905027932961,41.340782122905026,27.374301675977655,85.47486033519553,9.421052631578947,Ensino_Fundamental_II
23.0188679245283,40.37735849056604,32.075471698113205,84.15094339622641,7.361111111111111,Ensino_Fundamental_II
14.915254237288135,51.186440677966104,32.88135593220339,86.44067796610169,10.172413793103448,Ensino_Fundamental_II
13.96011396011396,45.86894586894587,33.61823361823362,68.66096866096866,13.0,Ensino_Fundamental_II
14.035087719298245,42.10526315789474,28.42105263157895,70.17543859649123,11.875,Ensino_Fundamental_II
17.714285714285715,44.0,28.571428571428573,87.42857142857143,7.954545454545454,Ensino_Fundamental_II
13.66120218579235,50.27322404371585,36.612021857923494,80.32786885245902,11.4375,Ensino_Fundamental_II
22.285714285714285,40.0,25.714285714285715,84.0,11.666666666666666,Ensino_Fundamental_II
8.812260536398467,50.57471264367816,28.35249042145594,85.05747126436782,12.428571428571429,Ensino_Fundamental_II
21.85792349726776,52.459016393442624,32.240437158469945,89.61748633879782,15.25,Ensino_Fundamental_II
18.181818181818183,45.45454545454545,32.535885167464116,77.99043062200957,9.952380952380953,Ensino_Fundamental_II
20.503597122302157,44.24460431654676,24.820143884892087,85.97122302158273,9.928571428571429,Ensino_Fundamental_II
18.857142857142858,41.714285714285715,36.57142857142857,78.28571428571429,9.210526315789474,Ensino_Fundamental_II
